"Town","Restriction Type","Total Estimated length (m)","Total Estimated spaces"
"Instow","Bus Stop Clearway",61.00,4.00
"Instow","Limited Waiting",490.00,97.00
"Instow","Loading Only",30.00,3.00
"Instow","No Loading At Any Time",150.00,26.00
"Instow","No Waiting",637.00,113.00
"Instow","No Waiting At Any Time",2740.00,487.00
"Ipplepen","Disabled Parking (Advisory)",7.00,1.00
"Ipplepen","Keep Clear Marking (TRO)",30.00,5.00
"Ipplepen","No Waiting At Any Time",198.00,34.00
"Ivybridge","Bus Stop Clearway",71.00,2.00
"Ivybridge","Disabled Parking",29.00,4.00
"Ivybridge","Keep Clear Marking (TRO)",183.00,30.00
"Ivybridge","Limited Waiting",302.00,54.00
"Ivybridge","Loading Only",21.00,2.00
"Ivybridge","M/Cycle Parking",13.00,1.00
"Ivybridge","No Loading At Any Time",846.00,143.00
"Ivybridge","No Waiting",601.00,105.00
"Ivybridge","No Waiting At Any Time",7083.00,1240.00
"Ivybridge","Residents Permit Parking",518.00,108.00
"Kennford","Keep Clear Marking (TRO)",18.00,3.00
"Kennford","Limited Waiting",14.00,2.00
"Kennford","No Waiting",58.00,10.00
"Kennford","No Waiting At Any Time",38.00,7.00
"Kenton","No Waiting At Any Time",858.00,144.00
"Kingsbridge","Bus Stop Clearway",64.00,5.00
"Kingsbridge","Disabled Parking",28.00,5.00
"Kingsbridge","Disabled Parking (Advisory)",20.00,3.00
"Kingsbridge","Keep Clear Marking (TRO)",94.00,15.00
"Kingsbridge","Limited Waiting",753.00,146.00
"Kingsbridge","Loading Only",115.00,8.00
"Kingsbridge","No Loading",735.00,131.00
"Kingsbridge","No Loading At Any Time",72.00,12.00
"Kingsbridge","No Waiting",3085.00,542.00
"Kingsbridge","No Waiting At Any Time",10104.00,1788.00
"Kingsbridge","Permit Holders Only",102.00,20.00
"Kingsbridge","Taxi Bay",6.00,1.00
"Kingskerswell","Bus Stop Clearway",12.00,1.00
"Kingskerswell","Keep Clear Marking (TRO)",86.00,15.00
"Kingskerswell","Limited Waiting",121.00,23.00
"Kingskerswell","No Waiting At Any Time",2677.00,466.00
"Kingsteignton","Bus Stop Clearway",210.00,12.00
"Kingsteignton","Disabled Parking",7.00,1.00
"Kingsteignton","Disabled Parking (Advisory)",7.00,1.00
"Kingsteignton","Keep Clear Marking (TRO)",166.00,27.00
"Kingsteignton","Limited Waiting",23.00,4.00
"Kingsteignton","No Waiting At Any Time",4520.00,789.00
"Kingston","No Waiting At Any Time",37.00,5.00
"Kingswear","Bus Stop Clearway",19.00,1.00
"Kingswear","Disabled Parking",12.00,1.00
"Kingswear","Limited Waiting",29.00,5.00
"Kingswear","No Waiting",67.00,12.00
"Kingswear","No Waiting At Any Time",4024.00,714.00
"Kingswear","Permit Holders Only",395.00,75.00
"Lee Mill","No Waiting At Any Time",2608.00,464.00
"Lee Mill Bridge","Disabled Parking",6.00,1.00
"Lee Mill Bridge","No Waiting At Any Time",325.00,56.00
"Lifton","No Waiting At Any Time",63.00,10.00
"Liverton","Keep Clear Marking (TRO)",22.00,3.00
"Liverton","No Loading At Any Time",157.00,27.00
"Liverton","No Waiting At Any Time",215.00,38.00
"Loddiswell","Keep Clear Marking (TRO)",30.00,5.00
"Loddiswell","No Waiting At Any Time",143.00,23.00
"Longcombe","No Waiting At Any Time",65.00,11.00
"Lower Lovacott","Keep Clear Marking (Advisory)",26.00,4.00
"Lympstone","Limited Waiting",41.00,8.00
"Lympstone","No Waiting At Any Time",3434.00,609.00
"Lynmouth","Disabled Parking",19.00,2.00
"Lynmouth","Limited Waiting",370.00,73.00
"Lynmouth","Loading Only",12.00,1.00
"Lynmouth","No Loading At Any Time",88.00,15.00
