Town,Restriction Type,Total Estimated length (m),Total Estimated spaces
Newton Abbot,Keep Clear Marking (TRO),307,52
Newton Abbot,Limited Waiting,1216,230
Newton Abbot,Loading Only,360,29
Newton Abbot,No Loading,906,160
Newton Abbot,No Loading At Any Time,2847,502
Newton Abbot,No Waiting,7361,1293
Newton Abbot,No Waiting At Any Time,23149,4103
Newton Abbot,Pay & Display,1375,264
Newton Abbot,Permit Holders Only,12,2
Newton Abbot,Residents Permit Parking,3697,725
Newton Abbot,Taxi Bay,36,5
Newton Ferrers,Keep Clear Marking (TRO),49,8
Newton Ferrers,Limited Waiting,168,31
Newton Ferrers,No Waiting,390,69
Newton Ferrers,No Waiting At Any Time,806,142
Newton Poppleford,Bus Stop Clearway,82,5
Newton Poppleford,Keep Clear Marking (TRO),40,7
Newton Poppleford,No Waiting At Any Time,655,105
Newton St Cyres,Bus Stop Clearway,39,2
Newton St Cyres,No Waiting At Any Time,245,40
North Tawton,Bus Stop Clearway,11,1
North Tawton,Disabled Parking,9,1
North Tawton,Keep Clear Marking (TRO),32,5
North Tawton,Loading Only,9,1
North Tawton,No Loading At Any Time,239,40
North Tawton,No Waiting At Any Time,1583,277
Northam,Bus Stop Clearway,151,10
Northam,Keep Clear Marking (TRO),80,13
Northam,Limited Waiting,82,16
Northam,No Waiting,209,37
Northam,No Waiting At Any Time,3937,687
Noss Mayo,No Waiting At Any Time,1190,213
Ogwell,Keep Clear Marking (TRO),45,8
Ogwell,No Waiting At Any Time,1019,174
Okehampton,Bus Stop Clearway,199,12
Okehampton,Disabled Parking,72,7
Okehampton,Limited Waiting,567,107
Okehampton,Loading Only,85,7
Okehampton,No Loading,244,43
Okehampton,No Loading At Any Time,722,120
Okehampton,No Waiting,972,166
Okehampton,No Waiting At Any Time,8140,1434
Okehampton,Taxi Bay,12,2
Otterton,No Waiting At Any Time,641,116
Ottery St Mary,Disabled Parking,24,3
Ottery St Mary,Keep Clear Marking (TRO),33,5
Ottery St Mary,Limited Waiting,219,42
Ottery St Mary,Loading Only,30,3
Ottery St Mary,No Loading,74,13
Ottery St Mary,No Waiting,321,56
Ottery St Mary,No Waiting At Any Time,4815,844
Parkham,Bus Stop Clearway,15,1
Parkham,Keep Clear Marking (TRO),53,8
Parracombe,Keep Clear Marking (Advisory),26,4
Payhembury,Keep Clear Marking (Advisory),70,11
Plymouth,Bus Stop Clearway,13,1
Plympton,Bus Stop Clearway,35,2
Plympton,No Waiting At Any Time,3945,710
Poundsgate,No Waiting At Any Time,1967,358
Princetown,Keep Clear Marking (TRO),51,8
Princetown,Limited Waiting,61,12
Princetown,No Waiting,1054,189
Princetown,No Waiting At Any Time,2746,492
Roborough,No Waiting At Any Time,102,18
Rockbeare,Keep Clear Marking (TRO),38,6
Rockbeare,No Waiting,46,8
Roundswell,No Waiting At Any Time,1806,320
Salcombe,Bus Stop Clearway,35,2
Salcombe,Disabled Parking,14,2
Salcombe,Disabled Parking (Advisory),7,1
Salcombe,Keep Clear Marking (TRO),42,7
Salcombe,Limited Waiting,382,68
Salcombe,No Loading,616,109
Salcombe,No Loading At Any Time,214,37
Salcombe,No Waiting At Any Time,15027,2681
Salcombe,Permit Holders Only,5,1
Salcombe,Residents Permit Parking,217,40
Salcombe,Taxi Bay,5,1
Sampford Peverell,Limited Waiting,179,34
Sampford Peverell,No Waiting At Any Time,1582,283
Sandford,Limited Waiting,10,2
Sandford,No Waiting At Any Time,66,11
Saunton,No Waiting At Any Time,2898,526
Seaton,Bus Stop Clearway,97,6
Seaton,Disabled Parking,160,23
Seaton,Emergency Service Vehicles,22,4
Seaton,Keep Clear Marking (TRO),99,17
Seaton,Limited Waiting,546,103
Seaton,Loading Only,37,3
Seaton,No Loading,103,18
Seaton,No Loading At Any Time,703,121
Seaton,No Waiting,461,82
Seaton,No Waiting At Any Time,11285,2004
Seaton,Pay & Display,454,91
Seaton,Residents Permit Parking,139,28
Seaton,Taxi Bay,27,4
Shaldon,Bus Stop Clearway,57,3
Shaldon,Keep Clear Marking (TRO),26,4
Shaldon,Limited Waiting,161,30
Shaldon,Loading Only,27,3
Shaldon,No Loading,60,10
Shaldon,No Loading At Any Time,277,50
Shaldon,No Waiting,5,1
Shaldon,No Waiting At Any Time,7531,1333
Shaugh Prior,Keep Clear Marking (TRO),32,5
Sidbury,No Waiting At Any Time,201,35
Sidford,No Loading,21,3
Sidford,No Waiting,701,125
Sidford,No Waiting At Any Time,759,128
Sidmouth,Bus Stop Clearway,142,10
Sidmouth,Disabled Parking,100,13
Sidmouth,Keep Clear Marking (TRO),135,22
Sidmouth,Limited Waiting,669,130
Sidmouth,Loading Only,134,11
Sidmouth,No Loading,270,47
Sidmouth,No Loading At Any Time,1136,199
Sidmouth,No Waiting,5810,1030
Sidmouth,No Waiting At Any Time,13367,2356
Sidmouth,Pay & Display,246,49
Sidmouth,Permit Holders Only,21,3
Sidmouth,Public Service Vehicle Parking,76,5
Silverton,No Waiting At Any Time,598,104
Slapton,No Waiting,1,1
South Brent,Bus Stop Clearway,47,3
South Brent,Disabled Parking,6,1
South Brent,Keep Clear Marking (TRO),41,7
South Brent,Limited Waiting,89,16
South Brent,Loading Only,15,1
South Brent,No Loading At Any Time,53,8
South Brent,No Waiting,188,33
South Brent,No Waiting At Any Time,1425,248
South Milton,No Waiting At Any Time,1257,227
South Molton,Disabled Parking,20,3
South Molton,Keep Clear Marking (TRO),23,4
South Molton,Limited Waiting,547,105
South Molton,Loading Only,29,3
South Molton,No Loading,78,13
South Molton,No Loading At Any Time,72,13
South Molton,No Waiting,4619,822
South Molton,No Waiting At Any Time,2987,523
South Zeal,Keep Clear Marking (TRO),44,7
South Zeal,Limited Waiting,13,2
South Zeal,No Waiting At Any Time,178,27
Sparkwell,Keep Clear Marking (TRO),44,8
Staddiscombe,No Waiting At Any Time,1087,196
Starcross,Bus Stop Clearway,48,3
Starcross,Disabled Parking,13,2
Starcross,Keep Clear Marking (TRO),44,8
Starcross,Limited Waiting,40,8
Starcross,No Waiting,219,38
Starcross,No Waiting At Any Time,1392,244
Staverton,No Waiting At Any Time,64,11
Sticklepath,Bus Stop Clearway,223,15
Sticklepath,Clearway route,1019,184
Sticklepath,Disabled Parking,7,1
Sticklepath,Disabled Parking (Advisory),21,3
Sticklepath,Keep Clear Marking (TRO),31,5
Sticklepath,Limited Waiting,100,18
Sticklepath,No Waiting,1617,283
Sticklepath,No Waiting At Any Time,2868,501
Sticklepath,Public Service Vehicle Parking,144,10
Sticklepath,Residents Permit Parking,2851,571
Stoke Canon,Keep Clear Marking (TRO),19,3
Stoke Canon,No Waiting At Any Time,134,22
Stoke Fleming,Keep Clear Marking (TRO),3,1
Stoke Fleming,No Waiting At Any Time,491,86
Stoke Gabriel,Keep Clear Marking (TRO),38,6
Stoke Gabriel,Limited Waiting,60,11
Stoke Gabriel,No Waiting At Any Time,1836,323
Stokeinteignhead,Keep Clear Marking (TRO),26,4
Stokenham,Keep Clear Marking (TRO),34,6
Stokenham,No Waiting At Any Time,30,5
Tavistock,Bus Stop Clearway,165,11
Tavistock,Clearway route,715,129
Tavistock,Disabled Parking,54,7
Tavistock,Keep Clear Marking (TRO),108,18
Tavistock,Limited Waiting,1352,259
Tavistock,Loading Only,136,12
Tavistock,No Loading,248,42
Tavistock,No Loading At Any Time,1249,215
Tavistock,No Waiting,2045,358
