Business_Name,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town,County,Post_Code,UPRN,Zone Description,Blocked,Car Free,Standard Residential,Standard Visitor,Essential Visitor,Resident Barnstaple K1,Standard Business,Charity Business,Guesthouse
,6 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090007,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10000488779,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,5 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090006,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Ground Floor Flat,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100040244406,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 4,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100041136060,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,1 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10000488572,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090771,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Medina Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100040244392,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Pilton Abbey,Bull Hill,,,Barnstaple,,EX31 1QR,100040244393,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090003,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Bevan House,Bull Hill,,,Barnstaple,,EX31 1QR,100040244390,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,2 Abbey Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100040244399,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100041136211,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,3 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090772,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Abbey Lodge,Bull Hill,,,Barnstaple,,EX31 1QR,100040244389,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,First Floor Flat,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,100040244404,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,7 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090009,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,4 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090004,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Abbey Bungalow,Bull Hill,,,Barnstaple,,EX31 1QR,100040244394,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Bull Hill House,Bull Hill,,,Barnstaple,,EX31 1QR,100040244396,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,9 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090010,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
Pilton United Charities Meeting Room,Pilton United Charities Meeting Room,Feoffee Cottages,Bull Hill,,Barnstaple,,EX31 1QP,10012110451,Barnstaple A,-,-,No,No,No,No,No,No,No
,3 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090005,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,4 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090773,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Lake Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,10012103801,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,Abbey Cottage,Bull Hill,,,Barnstaple,,EX31 1QR,100041136157,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,8 Feoffee Cottages,Bull Hill,,,Barnstaple,,EX31 1QP,10012090008,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,1 Lake Cottages,Bull Hill,,,Barnstaple,,EX31 1QR,10012090770,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,First Floor Flat,Pilton Abbey,Bull Hill,,Barnstaple,,EX31 1QR,10090335979,Barnstaple A,-,-,Yes,Yes,Yes,No,No,No,No
,11 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247775,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 3,Marlborough House,Higher Church Street,,Barnstaple,,EX32 8JE,10012111316,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,6 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247773,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,1 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247768,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,The Presbytery,Higher Church Street,,,Barnstaple,,EX32 8JE,100040247780,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,2 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247769,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,3 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247770,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,14 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247777,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,Marlborough House,Higher Church Street,,,Barnstaple,,EX32 8JE,100040247779,Barnstaple B,-,-,No,No,No,No,No,No,No
,15 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247778,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 2,Marlborough House,Higher Church Street,,Barnstaple,,EX32 8JE,10012111289,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,12 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247776,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,7 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247774,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,4 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247771,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,5 Higher Church Street,,,,Barnstaple,,EX32 8JE,100040247772,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,8 Higher Church Street,,,,Barnstaple,,EX32 8JE,100041137147,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,Flat 1,Unit 1,The Square,,Barnstaple,,EX32 8LS,100041137194,Barnstaple B,Yes,-,No,No,No,No,No,No,No
,Flat 1,Devonshire House,The Square,,Barnstaple,,EX32 8LS,10000489421,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,8 Salem Street,,,,Barnstaple,,EX32 8JF,100040253062,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,11 Salem Street,,,,Barnstaple,,EX32 8JF,100040253069,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,18 Salem Street,,,,Barnstaple,,EX32 8JF,100040253076,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,Ground Floor Flat,10 Salem Street,,,Barnstaple,,EX32 8JF,10012092473,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
,7 Salem Street,,,,Barnstaple,,EX32 8JF,100040253061,Barnstaple B,-,-,Yes,Yes,Yes,No,No,No,No
